DATA;PM10;co;no2;Coletor
28/04/1997;59,217;4,3857;112,895;Patrícia M.
29/04/1997;80,285;4,3286;137,22;Patrícia M.
30/04/1997;94,72;4,4614;192,033;Patrícia M.
01/05/1997;77,622;4,0286;123,455;Carlos F.
02/05/1997;99,1;4,3114;171,57;Carlos F.
03/05/1997;94,352;3,92;207,488;Carlos F.
04/05/1997;47,819;1,7433;57,428;Carlos F.
05/05/1997;49,204;2,7117;105,893;Carlos F.
06/05/1997;67,932;2,8067;125,838;Carlos F.
07/05/1997;75,645;2,9;123,89;Carlos F.
08/05/1997;82,638;3,0843;141,288;Carlos F.
09/05/1997;86,515;3,4214;184,342;Carlos F.
10/05/1997;66,237;2,2686;103,685;Carlos F.
11/05/1997;61,252;1,9386;80,573;Carlos F.
12/05/1997;83,833;4,3729;169,797;Carlos F.
13/05/1997;86,794;4,5257;95,358;Carlos F.
14/05/1997;52,832;2,1371;79,578;Carlos F.
15/05/1997;58,889;2,56;91,068;Carlos F.
16/05/1997;75,808;3,14;120,59;Patrícia M.
17/05/1997;72,283;2,82;100,143;Patrícia M.
18/05/1997;68,508;2,555;86,822;Patrícia M.
19/05/1997;89,022;5,625;142,265;Patrícia M.
20/05/1997;97,534;5,6671;173,61;Patrícia M.
21/05/1997;83,655;4,99;128,422;Patrícia M.
22/05/1997;57,398;4,7571;85,513;Patrícia M.
23/05/1997;46,015;3,0914;75,623;Patrícia M.
24/05/1997;40,832;2,5657;69,65;Patrícia M.
25/05/1997;27,584;2,1643;63,648;Patrícia M.
26/05/1997;57,061;3,1643;126,513;Patrícia M.
27/05/1997;62,071;4,08;123,163;Patrícia M.
28/05/1997;56,925;4,63;93,358;Patrícia M.
29/05/1997;26,068;3,5357;50,398;Patrícia M.
30/05/1997;30,139;2,2417;76,015;Patrícia M.
31/05/1997;40,348;1,7414;65,315;Magno Filho
01/06/1997;36,697;1,8214;63,245;José Silveira
02/06/1997;55,647;2,9333;108,94;Patrícia M.
03/06/1997;94,481;4,7367;263,738;Magno Filho
04/06/1997;76,791;4,5633;99,026;Magno Filho
05/06/1997;50,119;5,3017;116,136;Magno Filho
06/06/1997;49,438;3,8733;83,924;Magno Filho
07/06/1997;40,001;3,4433;73,198;Magno Filho
08/06/1997;39,089;2,6183;65,806;Magno Filho
09/06/1997;70,492;3,2767;165,1;Magno Filho
10/06/1997;93,601;5,0533;197,754;Magno Filho
11/06/1997;100,32;5,9029;198,013;Magno Filho
12/06/1997;62,301;5,9;98,64;Magno Filho
13/06/1997;98,207;6,9129;233,888;Magno Filho
14/06/1997;51,818;5,5929;70,735;Magno Filho
15/06/1997;26,649;2,7971;50,135;Magno Filho
16/06/1997;39,219;3,4129;84,95;José Silveira
17/06/1997;66,67;5,2214;95,665;José Silveira
18/06/1997;78,975;4,6557;122,525;José Silveira
19/06/1997;73,343;4,4943;159,142;José Silveira
20/06/1997;61,89;6,6883;105,24;José Silveira
21/06/1997;61,948;5,8957;82,792;José Silveira
22/06/1997;52,478;4,9257;73,21;José Silveira
23/06/1997;66,561;4,42;140,36;José Silveira
24/06/1997;68,869;5,4386;109,957;José Silveira
25/06/1997;104,533;6,3129;165,477;Patrícia M.
26/06/1997;84,055;5,8886;129,22;Patrícia M.
27/06/1997;68,881;4,4086;117,908;Patrícia M.
28/06/1997;48,419;3,4443;103,207;Patrícia M.
29/06/1997;37,816;3,4729;91,468;Patrícia M.
30/06/1997;36,307;2,5657;97,215;Patrícia M.
01/07/1997;48,633;2,9986;80,288;Carlos F.
02/07/1997;73,087;5,2543;128,737;Carlos F.
03/07/1997;76,176;6,2714;102,668;Carlos F.
04/07/1997;77,469;6,0443;103,89;Carlos F.
05/07/1997;49,072;3,0833;68,956;Carlos F.
06/07/1997;60,571;5,5086;93,508;Carlos F.
07/07/1997;88,018;5,8171;203,18;Carlos F.
08/07/1997;75,884;2,7114;127,882;Carlos F.
09/07/1997;90,038;5,0829;124,96;Carlos F.
10/07/1997;123,753;7,1714;197,505;Carlos F.
11/07/1997;102,706;7,6229;169,213;Carlos F.
12/07/1997;69,534;2,6757;114,825;Carlos F.
13/07/1997;64,483;4,78;112,817;Carlos F.
14/07/1997;105,808;6,7771;158,795;Carlos F.
15/07/1997;147,408;7,7257;256,608;Carlos F.
16/07/1997;141,655;8,4071;154,898;Carlos F.
17/07/1997;129,638;7,5186;268,765;Carlos F.
18/07/1997;66,744;3,1729;97,188;Carlos F.
19/07/1997;74,961;5,57;104,833;Carlos F.
20/07/1997;97,178;7,5229;103,375;Carlos F.
21/07/1997;59,059;3,7686;87,123;Carlos F.
22/07/1997;57,236;3,51;110,227;Carlos F.
23/07/1997;56,497;3,05;83,377;Carlos F.
24/07/1997;46,959;2,1271;76,888;Carlos F.
25/07/1997;51,331;2,2857;89,534;Carlos F.
26/07/1997;53,974;1,9814;103,272;Carlos F.
27/07/1997;82,355;4,5957;175,628;Carlos F.
28/07/1997;132,24;7,78;218,022;Carlos F.
29/07/1997;145,888;8,3971;241,665;Carlos F.
30/07/1997;121,795;7,9186;261,512;Carlos F.
31/07/1997;103,952;6,7429;162,868;Magno Filho
01/08/1997;147,259;8,0329;244,417;José Silveira
02/08/1997;148,15;9,4543;240,343;José Silveira
03/08/1997;106,487;3,6814;125,113;José Silveira
04/08/1997;59,158;3,6333;114,758;José Silveira
05/08/1997;26,879;2,0343;70,467;José Silveira
06/08/1997;49,602;2,3757;114,278;José Silveira
07/08/1997;72,233;5,2057;138,953;Magno Filho
08/08/1997;30,158;4,4971;70,853;Magno Filho
09/08/1997;26,222;1,6071;63,092;Magno Filho
10/08/1997;32,48;1,67;61,348;Magno Filho
11/08/1997;55,688;3,43;192,358;Magno Filho
12/08/1997;91,812;4,6043;239,195;Magno Filho
13/08/1997;86,09;4,0529;174,798;Magno Filho
14/08/1997;84,432;3,785;179,497;Magno Filho
15/08/1997;111,227;8,1867;212,593;Magno Filho
16/08/1997;121,726;10,1414;170,458;Magno Filho
17/08/1997;123,306;11,4429;181,198;Magno Filho
18/08/1997;99,497;6,8429;155,752;Magno Filho
19/08/1997;97,834;6,9486;167,905;Magno Filho
20/08/1997;102,022;7,1114;152,728;Magno Filho
21/08/1997;95,109;3,9829;155,172;Magno Filho
22/08/1997;92,098;3,8857;191,698;Magno Filho
23/08/1997;52,441;3,8117;108,383;Magno Filho
24/08/1997;29,449;3,7467;71,907;Magno Filho
25/08/1997;40,437;2,0786;95,76;Magno Filho
26/08/1997;52,875;2,4786;131,63;Magno Filho
27/08/1997;77,113;3,68;167,585;Magno Filho
28/08/1997;95,22;4,4586;164,228;Magno Filho
29/08/1997;107,661;4,4414;219,08;Magno Filho
30/08/1997;110,963;4,0586;215,895;Magno Filho
31/08/1997;90,646;4,8214;159,34;Magno Filho
01/09/1997;108,549;5,3486;383,575;José Silveira
02/09/1997;120,765;6,82;399,56;José Silveira
03/09/1997;132,792;5,6371;252,735;José Silveira
04/09/1997;152,976;7,1871;300,632;José Silveira
05/09/1997;97,191;4,9233;191,612;José Silveira
06/09/1997;45,955;3,8514;90,858;José Silveira
07/09/1997;59,144;2,6886;110,707;José Silveira
08/09/1997;103,65;8,3429;191,117;José Silveira
09/09/1997;150,489;9,5586;188,527;José Silveira
10/09/1997;50,485;5,9014;118,914;José Silveira
11/09/1997;34,41;1,7943;72,39;José Silveira
12/09/1997;70,961;4,1833;133,568;José Silveira
13/09/1997;113,717;4,3357;125,287;José Silveira
14/09/1997;49,659;3,7429;80,158;José Silveira
15/09/1997;31,075;2,5343;84,325;José Silveira
16/09/1997;49,359;1,8157;74,68;José Silveira
17/09/1997;57,112;2,97;180,442;José Silveira
